,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
5077,5357057,20926,74GJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5078,5357313,20927,758GJ32-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5079,5357569,20928,766TN33-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5080,5357825,20929,JALAN-SM,JALAN TRANSOLU. INDIA,0.0,,0.0,0.05,3000,EQ,NSE,NSE
5081,5358337,20931,767UK33A-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5082,5358849,20933,756TN53A-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5083,5359617,20936,KIRLOSENG,KIRLOSKAR OIL ENG,0.0,,0.0,0.05,1,EQ,NSE,NSE
5084,5359873,20937,767GA33A-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5085,5360129,20938,767UP33-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5086,5361153,20942,767RJ33-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5087,5361409,20943,765UP34-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5088,5361665,20944,767HR35-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5089,5361921,20945,768KA37-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5090,5362177,20946,764WB43A-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5091,5362433,20947,772JK43-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5092,5362689,20948,762KL44-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5093,5363201,20950,RKDL,RAVI KUMAR DIST.,0.0,,0.0,0.05,1,EQ,NSE,NSE
5094,5363457,20951,182D270624-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5095,5363713,20952,364D261224-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5096,5364737,20956,SUNCLAY,SUNDARAM CLAYTON,0.0,,0.0,0.05,1,EQ,NSE,NSE
5097,5365505,20959,719JK29-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5098,5365761,20960,72AS29-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5099,5366017,20961,798AP31-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5100,5366529,20963,8AR30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5101,5366785,20964,780KA30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5102,5367041,20965,793KA31-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5103,5367809,20968,925IHFL25H-Y0,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5104,5368321,20970,965IHFL25B-Y1,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5105,5368833,20972,888IHFL25B-Y2,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5106,5369345,20974,VSCL-ST,VADIVARHE SPCLTY CHEM,0.0,,0.0,0.05,3000,EQ,NSE,NSE
5107,5370113,20977,925IHFL25B-Y3,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5108,5370881,20980,SGBMAY25-GB,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5109,5371393,20982,IBHFZC25E-Y4,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5110,5371905,20984,IBHFZC25F-Y5,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5111,5372417,20986,940IHFL26B-Y6,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5112,5372929,20988,INDIGRID-IV,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5113,5374721,20995,990IHFL26B-Y7,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5114,5376001,21000,948IHFL26B-Y8,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5115,5376257,21001,PSB,PUNJAB & SIND BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE
5116,5376769,21003,IBHFZC26F-Y9,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5117,5378049,21008,IBHFZC26G-YA,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5118,5378561,21010,965IHFL28B-YB,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5119,5380097,21016,925IHFL28B-YC,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5120,5380865,21019,971IHFL28B-YD,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5121,5381377,21021,FMNL-BE,FUTURE MKT NETWORKS,0.0,,0.0,0.05,1,EQ,NSE,NSE
5122,5382145,21024,980IHFL33D-YG,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5123,5382657,21026,835IHFL23A-YH,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5124,5383169,21028,875IHFL23A-YI,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5125,5383681,21030,1025IHFL33-YJ,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5126,5383937,21031,8HR30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5127,5384193,21032,726GJ29-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5128,5384705,21034,726AS29-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5129,5385985,21039,648AP32-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5130,5386241,21040,641GA30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5131,5386753,21042,1075IHFL33-YK,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5132,5387265,21044,980IHFL33B-YL,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5133,5387777,21046,795JK30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5134,5388033,21047,788GA30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5135,5388289,21048,8AS30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5136,5388545,21049,773GJ29-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5137,5388801,21050,780AP33-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5138,5389057,21051,73HP30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5139,5389569,21053,699GJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
